slide_id,patch_idx,s1_prob,s2_tls_pixels,s2_gc_pixels,gt_tls_pixels,gt_gc_pixels,tls_dice,gc_dice,label,label_reason
TCGA-ZF-A9R2-01Z-00-DX1,21037,0.5777869820594788,37286,0,0,0,0.0000,1.0000,0,fp_s2_fired
TCGA-ZF-A9R2-01Z-00-DX1,21038,0.5933623909950256,39066,0,0,0,0.0000,1.0000,0,fp_s2_fired
TCGA-E7-A7DU-01Z-00-DX1,412,0.6638203263282776,32441,0,0,0,0.0000,1.0000,0,fp_s2_fired
TCGA-E7-A7DU-01Z-00-DX1,413,0.628733217716217,12957,0,0,0,0.0000,1.0000,0,fp_s2_fired
TCGA-E7-A7DU-01Z-00-DX1,475,0.5922980904579163,43052,0,0,0,0.0000,1.0000,0,fp_s2_fired
TCGA-E7-A7DU-01Z-00-DX1,476,0.5506287813186646,17738,0,0,0,0.0000,1.0000,0,fp_s2_fired
TCGA-E7-A7DU-01Z-00-DX1,14485,0.9527463912963867,65040,0,0,0,0.0000,1.0000,0,fp_s2_fired
TCGA-E7-A7DU-01Z-00-DX1,14486,0.9601133465766907,37909,0,0,0,0.0000,1.0000,0,fp_s2_fired
TCGA-E7-A7DU-01Z-00-DX1,14487,0.5228019952774048,5294,0,0,0,0.0000,1.0000,0,fp_s2_fired
TCGA-E7-A7DU-01Z-00-DX1,14639,0.9248149394989014,52104,0,0,0,0.0000,1.0000,0,fp_s2_fired
TCGA-E7-A7DU-01Z-00-DX1,14640,0.981410026550293,65536,0,0,0,0.0000,1.0000,0,fp_s2_fired
TCGA-E7-A7DU-01Z-00-DX1,14641,0.9446901082992554,22307,0,0,0,0.0000,1.0000,0,fp_s2_fired
TCGA-E7-A7DU-01Z-00-DX1,14791,0.8606625199317932,33208,0,0,0,0.0000,1.0000,0,fp_s2_fired
TCGA-E7-A7DU-01Z-00-DX1,14792,0.8569114804267883,52669,0,0,0,0.0000,1.0000,0,fp_s2_fired
TCGA-E7-A7DU-01Z-00-DX1,14793,0.7547961473464966,2121,0,0,0,0.0000,1.0000,0,fp_s2_fired
TCGA-XF-A9T5-01Z-00-DX1,2257,0.5742998123168945,2545,0,0,0,0.0000,1.0000,0,fp_s2_fired
TCGA-XF-A9T5-01Z-00-DX1,2258,0.7555558085441589,258,0,0,0,0.0000,1.0000,0,fp_s2_fired
TCGA-XF-A9T5-01Z-00-DX1,2361,0.878990888595581,50960,0,0,0,0.0000,1.0000,0,fp_s2_fired
TCGA-XF-A9T5-01Z-00-DX1,2362,0.7188059687614441,9020,0,0,0,0.0000,1.0000,0,fp_s2_fired
TCGA-XF-A9T5-01Z-00-DX1,2465,0.7757241725921631,30423,0,0,0,0.0000,1.0000,0,fp_s2_fired
TCGA-XF-A9T5-01Z-00-DX1,2466,0.7636840343475342,8362,0,0,0,0.0000,1.0000,0,fp_s2_fired
TCGA-XF-A9T5-01Z-00-DX1,2467,0.7961727380752563,1154,0,0,0,0.0000,1.0000,0,fp_s2_fired
TCGA-XF-A9T5-01Z-00-DX1,2586,0.7495598793029785,27796,0,0,0,0.0000,1.0000,0,fp_s2_fired
TCGA-XF-A9T5-01Z-00-DX1,2587,0.8825656175613403,54256,0,0,0,0.0000,1.0000,0,fp_s2_fired
TCGA-XF-A9T5-01Z-00-DX1,2588,0.9670777916908264,65536,0,0,0,0.0000,1.0000,0,fp_s2_fired
TCGA-XF-A9T5-01Z-00-DX1,2589,0.9722763895988464,62918,0,0,0,0.0000,1.0000,0,fp_s2_fired
